sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
265,Prakash (bala) Vasant Sawant,VANDRE EAST,SHS,0,10th Pass,22525998,112927,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1350,main_election
266,Dr. Bharati Lavhekar,VARSOVA,BJP,0,Doctorate,15688280,3150000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1037,main_election
267,Hitendra Vishnu Thakur,VASAI,Bahujan Vikas Aaghadi,8,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1855,main_election
268,Sunil Rajaram Raut,VIKHROLI,SHS,5,12th Pass,21029259,730525,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1311,main_election
269,Savara Vishnu Rama,VIKRAMGAD (ST),BJP,0,Graduate,8937527,2447939,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1832,main_election
270,Adv.parag Alawni,VILE PARLE,BJP,1,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=957,main_election
271,Kalidas Nilkanth Kolambkar,WADALA,INC,0,10th Pass,77871388,6233477,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=572,main_election
272,Sanjeev Reddy,WANI,BJP,0,Graduate,35774842,27715937,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=129,main_election
273,Pankaj Bhoyar,WARDHA,BJP,0,Doctorate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1012,main_election
274,Suresh Urf Balubhau Narayan Dhanorkar,WARORA,SHS,27,12th Pass,70922328,48324000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3390,main_election
275,Lakhan Malik,WASHIM (SC),BJP,0,Literate,3848913,350000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=888,main_election
276,Sunil Govind Shinde,WORLI,SHS,2,10th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1358,main_election
277,Madan Yerawar,YAVATMAL,BJP,1,Others,73061879,24308612,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=914,main_election
278,Chhagan Chandrakant Bhujbal,YEVLA,NCP,1,10th Pass,219129415,150000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1102,main_election
