sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
124,Dali Chand Dangi,MAVLI,BJP,0,5th Pass,25707501,762000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=668,main_election
125,Sukharam,MERTA,BJP,0,8th Pass,6700934,3640000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=986,main_election
126,Dharam Pal Choudhary,MUNDAWAR,BJP,0,12th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=79,main_election
127,Krishnendra Kaur,NADBAI,BJP,0,12th Pass,78018000,1535000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=2028,main_election
128,Anita,NAGAR,BJP,1,Graduate,28914000,700000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1562,main_election
129,Habibur Rahman Ashrafi Lamba,NAGAUR,BJP,0,12th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1000,main_election
130,Sanwar Lal,NASIRABAD,BJP,0,Doctorate,23655371,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1045,main_election
131,Kalyansingh Chouhan,NATHDWARA,BJP,0,8th Pass,58381198,4859485,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=558,main_election
132,Dr Rajkumar Sharma,NAWALGARH,IND,4,Doctorate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1160,main_election
133,Vijay Singh,NAWAN,BJP,0,Graduate,24864221,440650,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=955,main_election
134,Prem Singh,NEEM KA THANA,BJP,0,Literate,877022409,460275419,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=279,main_election
135,Shrichand Kriplani,NIMBAHERA,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=589,main_election
136,Heera Lal Raiger,NIWAI,BJP,0,Post Graduate,10963907,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1081,main_election
