sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
97,Sharad Jain,JABALPUR NORTH,BJP,0,Graduate Professional,16000440,1381806,https://www.myneta.info/mp2013/candidate.php?candidate_id=850,main_election
98,Tarun,JABALPUR WEST,INC,5,12th Pass,72012352,14972434,https://www.myneta.info/mp2013/candidate.php?candidate_id=549,main_election
99,Pratap Singh,JABERA,INC,0,10th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=734,main_election
100,Pramila Singh Tekam,JAISINGHNAGAR,BJP,0,Post Graduate,15547193,4306331,https://www.myneta.info/mp2013/candidate.php?candidate_id=705,main_election
101,Jai Singh Maravi,JAITPUR,BJP,0,10th Pass,7765436,1646168,https://www.myneta.info/mp2013/candidate.php?candidate_id=844,main_election
102,Rajendra Pandey,JAORA,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=452,main_election
103,Dinesh Ahirwar,JATARA,INC,0,Post Graduate,602478,0,https://www.myneta.info/mp2013/candidate.php?candidate_id=715,main_election
104,Subedar Singh Sikarvar,JAURA,BJP,0,12th Pass,12393563,1260946,https://www.myneta.info/mp2013/candidate.php?candidate_id=814,main_election
105,Om Prakash Saklecha,JAWAD,BJP,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=126,main_election
106,Shantilal Bhilwal,JHABUA,BJP,0,Post Graduate,488000,98568,https://www.myneta.info/mp2013/candidate.php?candidate_id=807,main_election
107,Madhav Singh Dabar,JOBAT,BJP,0,Graduate,37412718,1318407,https://www.myneta.info/mp2013/candidate.php?candidate_id=714,main_election
108,Nathan Shah Kevreti,JUNNARDEO,BJP,0,8th Pass,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=864,main_election
109,Inder Singh Parmar,KALAPIPAL,BJP,2,Graduate Professional,36697137,182084,https://www.myneta.info/mp2013/candidate.php?candidate_id=804,main_election
110,Shakuntla Khatik,KARERA,INC,1,10th Pass,1750000,181197,https://www.myneta.info/mp2013/candidate.php?candidate_id=195,main_election
111,Sachin Yadav,KASRAWAD,INC,0,Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=989,main_election
112,K. D. Deshmukh,KATANGI,BJP,0,Graduate Professional,36749326,861064,https://www.myneta.info/mp2013/candidate.php?candidate_id=557,main_election
113,Rajanish Singh,KEOLARI,INC,0,12th Pass,135256767,28750971,https://www.myneta.info/mp2013/candidate.php?candidate_id=870,main_election
114,Devendra Verma,KHANDWA,BJP,0,Post Graduate,,,https://www.myneta.info/mp2013/candidate.php?candidate_id=160,main_election
115,Chanda Devi Gour,KHARGAPUR,INC,0,12th Pass,21216747,1703476,https://www.myneta.info/mp2013/candidate.php?candidate_id=717,main_election
